Gemeindename,Gemeindeschlüssel,Stand in der KWP
Priborn,13071118.0,Stand unbekannt
Priepert,13071119.0,Stand unbekannt
Rechlin,13071122.0,Stand unbekannt
Ritzerow,13071123.0,Stand unbekannt
Schönbeck,13071130.0,Stand unbekannt
Schönhausen,13071132.0,Stand unbekannt
Schwarz,13071133.0,Stand unbekannt
Sietow,13071137.0,Stand unbekannt
Stuer,13071143.0,Stand unbekannt
Userin,13071147.0,Stand unbekannt
Voigtsdorf,13071153.0,Stand unbekannt
Wesenberg (Mecklenburg-Vorpommern),13071159.0,Stand unbekannt
Wokuhl-Dabelow,13071162.0,Stand unbekannt
Wustrow,13071167.0,Stand unbekannt
Zettemin,13071169.0,Stand unbekannt
Kuckssee,13071173.0,Stand unbekannt
Eldetal,13071175.0,Stand unbekannt
Südmüritz,13071176.0,Stand unbekannt
Admannshagen-Bargeshagen,13072001.0,Stand unbekannt
Alt Bukow,13072002.0,Stand unbekannt
Altkalen,13072004.0,Stand unbekannt
Am Salzhaff,13072005.0,Stand unbekannt
Bartenshagen-Parkentin,13072007.0,Stand unbekannt
Bastorf,13072008.0,Stand unbekannt
Behren-Lübchin,13072010.0,Stand unbekannt
Biendorf,13072014.0,Stand unbekannt
Börgerende-Rethwisch,13072017.0,Stand unbekannt
Cammin,13072021.0,Stand unbekannt
Carinerland,13072022.0,Stand unbekannt
Dummerstorf,13072029.0,Stand unbekannt
Finkenthal,13072031.0,Stand unbekannt
Glasewitz,13072033.0,Stand unbekannt
Gnewitz,13072034.0,Stand unbekannt
Gnoien,13072035.0,Stand unbekannt
Grammow,13072037.0,Stand unbekannt
Groß Schwiesow,13072039.0,Stand unbekannt
Gülzow-Prüzen,13072042.0,Stand unbekannt
Gutow,13072044.0,Stand unbekannt
Hohenfelde (Mecklenburg-Vorpommern),13072047.0,Stand unbekannt
Klein Upahl,13072055.0,Stand unbekannt
Kuhs,13072061.0,Stand unbekannt
Lohmen,13072067.0,Stand unbekannt
Lüssow,13072069.0,Stand unbekannt
Mistorf,13072071.0,Stand unbekannt
Mühl Rosin,13072073.0,Stand unbekannt
Neubukow,13072074.0,Stand unbekannt
Nienhagen (Kreis Rostock),13072075.0,Stand unbekannt
Nustrow,13072076.0,Stand unbekannt
Plaaz,13072079.0,Stand unbekannt
Reddelich,13072083.0,Stand unbekannt
Reimershagen,13072084.0,Stand unbekannt
Rerik,13072085.0,Stand unbekannt
Retschow,13072086.0,Stand unbekannt
Sarmstorf,13072092.0,Stand unbekannt
Satow,13072093.0,Stand unbekannt
Selpin,13072097.0,Stand unbekannt
Steffenshagen,13072099.0,Stand unbekannt
Stubbendorf,13072102.0,Stand unbekannt
Tessin,13072105.0,Stand unbekannt
Thelkow,13072107.0,Stand unbekannt
Walkendorf,13072111.0,Stand unbekannt
Wittenbeck,13072117.0,Stand unbekannt
Zarnewanz,13072118.0,Stand unbekannt
Zehna,13072119.0,Stand unbekannt
Ahrenshagen-Daskow,13073001.0,Stand unbekannt
Ahrenshoop,13073002.0,Stand unbekannt
Altefähr,13073003.0,Stand unbekannt
Altenkirchen (Rügen),13073004.0,Stand unbekannt
Altenpleen,13073005.0,Stand unbekannt
Baabe,13073006.0,Stand unbekannt
Barth,13073009.0,Stand unbekannt
Born a.Darß,13073012.0,Stand unbekannt
Breege,13073013.0,Stand unbekannt
Dierhagen,13073017.0,Stand unbekannt
Divitz-Spoldershagen,13073018.0,Stand unbekannt
Dranske,13073019.0,Stand unbekannt
Dreschvitz,13073021.0,Stand unbekannt
Elmenhorst (Kreis Vorpommern-Rügen),13073023.0,Stand unbekannt
Franzburg,13073024.0,Stand unbekannt
Fuhlendorf (Kreis Vorpommern-Rügen),13073025.0,Stand unbekannt
Gingst,13073028.0,Stand unbekannt
Glewitz,13073029.0,Stand unbekannt
Glowe,13073030.0,Stand unbekannt
Göhren,13073031.0,Stand unbekannt
Gremersdorf-Buchholz,13073034.0,Stand unbekannt
Grimmen,13073035.0,Stand unbekannt
Groß Mohrdorf,13073037.0,Stand unbekannt
Insel Hiddensee,13073040.0,Stand unbekannt
Karnin,13073042.0,Stand unbekannt
Kenz-Küstrow,13073043.0,Stand unbekannt
Klausdorf,13073044.0,Stand unbekannt
Kluis,13073045.0,Stand unbekannt
Kramerhof,13073046.0,Stand unbekannt
Lancken-Granitz,13073048.0,Stand unbekannt
Löbnitz,13073051.0,Stand unbekannt
Lohme,13073052.0,Stand unbekannt
Lüdershagen,13073053.0,Stand unbekannt
Marlow,13073055.0,Stand unbekannt
Millienhagen-Oebelitz,13073057.0,Stand unbekannt
Neuenkirchen (Rügen),13073059.0,Stand unbekannt
Papenhagen,13073062.0,Stand unbekannt
Preetz (bei Stralsund),13073066.0,Stand unbekannt
Prerow,13073067.0,Stand unbekannt
Prohn,13073068.0,Stand unbekannt
Pruchten,13073069.0,Stand unbekannt
Putbus,13073070.0,Stand unbekannt
Putgarten,13073071.0,Stand unbekannt
Rambin,13073073.0,Stand unbekannt
Richtenberg,13073076.0,Stand unbekannt
Saal,13073077.0,Stand unbekannt
Sagard,13073078.0,Stand unbekannt
Samtens,13073079.0,Stand unbekannt
Sassnitz,13073080.0,Stand unbekannt
Schaprode,13073081.0,Stand unbekannt
Schlemmin,13073082.0,Stand unbekannt
Sellin,13073084.0,Stand unbekannt
Semlow,13073085.0,Stand unbekannt
Splietsdorf,13073086.0,Stand unbekannt
Sundhagen,13073090.0,Stand unbekannt
Trent,13073092.0,Stand unbekannt
Trinwillershagen,13073094.0,Stand unbekannt
Ummanz,13073095.0,Stand unbekannt
Velgast,13073096.0,Stand unbekannt
Weitenhagen,13073097.0,Stand unbekannt
Wendisch Baggendorf,13073098.0,Stand unbekannt
Wieck a.Darß,13073100.0,Stand unbekannt
Wiek,13073101.0,Stand unbekannt
Wittenhagen,13073102.0,Stand unbekannt
Wustrow (Fischland),13073103.0,Stand unbekannt
Zirkow,13073106.0,Stand unbekannt
Mönchgut,13073107.0,Stand unbekannt
Bad Kleinen,13074002.0,Stand unbekannt
Barnekow,13074003.0,Stand unbekannt
Bernstorf,13074005.0,Stand unbekannt
Bibow,13074006.0,Stand unbekannt
Bobitz,13074008.0,Stand unbekannt
Boltenhagen,13074010.0,Stand unbekannt
Damshagen,13074016.0,Stand unbekannt
Dragun,13074020.0,Stand unbekannt
Gägelow,13074022.0,Stand unbekannt
Glasin,13074023.0,Stand unbekannt
Groß Stieten,13074030.0,Stand unbekannt
Hohen Viecheln,13074031.0,Stand unbekannt
Hohenkirchen,13074032.0,Stand unbekannt
Jesendorf,13074036.0,Stand unbekannt
Kalkhorst,13074037.0,Stand unbekannt
Kneese,13074040.0,Stand unbekannt
Krembz,13074043.0,Stand unbekannt
Lübberstorf,13074046.0,Stand unbekannt
Lübow,13074047.0,Stand unbekannt
Metelsdorf,13074053.0,Stand unbekannt
Mühlen Eichsen,13074054.0,Stand unbekannt
Passee,13074060.0,Stand unbekannt
Roggendorf,13074068.0,Stand unbekannt
Roggenstorf,13074069.0,Stand unbekannt
Rögnitz,13074070.0,Stand unbekannt
Rüting,13074071.0,Stand unbekannt
Testorf-Steinfort,13074077.0,Stand unbekannt
Upahl,13074079.0,Stand unbekannt
Veelböken,13074081.0,Stand unbekannt
Ventschow,13074082.0,Stand unbekannt
Warin,13074084.0,Stand unbekannt
Warnow (bei Grevesmühlen),13074085.0,Stand unbekannt
Zierow,13074089.0,Stand unbekannt
Zurow,13074090.0,Stand unbekannt
Züsow,13074091.0,Stand unbekannt
Stepenitztal,13074093.0,Stand unbekannt
Alt Tellin,13075002.0,Stand unbekannt
Altwigshagen,13075004.0,Stand unbekannt
Bargischow,13075007.0,Stand unbekannt
Behrenhoff,13075008.0,Stand unbekannt
Bentzin,13075009.0,Stand unbekannt
Benz (Kreis Vorpommern-Greifswald),13075010.0,Stand unbekannt
Blesewitz,13075013.0,Stand unbekannt
Boldekow,13075015.0,Stand unbekannt
Brietzig,13075017.0,Stand unbekannt
Brünzow,13075018.0,Stand unbekannt
Bugewitz,13075020.0,Stand unbekannt
Buggenhagen,13075021.0,Stand unbekannt
Butzow,13075022.0,Stand unbekannt
Daberkow,13075023.0,Stand unbekannt
Dargelin,13075025.0,Stand unbekannt
Dargen,13075026.0,Stand unbekannt
Dersekow,13075027.0,Stand unbekannt
Ducherow,13075029.0,Stand unbekannt
Fahrenwalde,13075032.0,Stand unbekannt
Ferdinandshof,13075033.0,Stand unbekannt
Garz,13075034.0,Stand unbekannt
Görmin,13075036.0,Stand unbekannt
Groß Luckow,13075042.0,Stand unbekannt
Hammer a.d.Uecker,13075045.0,Stand unbekannt
Hanshagen,13075046.0,Stand unbekannt
Heinrichswalde,13075048.0,Stand unbekannt
Hinrichshagen,13075050.0,Stand unbekannt
Iven,13075053.0,Stand unbekannt
Jatznick,13075055.0,Stand unbekannt
Kamminke,13075056.0,Stand unbekannt
Karlshagen,13075058.0,Stand unbekannt
Katzow,13075059.0,Stand unbekannt
Kemnitz,13075060.0,Stand unbekannt
Koblentz,13075063.0,Stand unbekannt
Korswandt,13075065.0,Stand unbekannt
Koserow,13075066.0,Stand unbekannt
Krien,13075068.0,Stand unbekannt
Kröslin,13075069.0,Stand unbekannt
Kruckow,13075070.0,Stand unbekannt
Krugsdorf,13075071.0,Stand unbekannt
Krummin,13075072.0,Stand unbekannt
Krusenfelde,13075073.0,Stand unbekannt
Lassan,13075074.0,Stand unbekannt
Levenhagen,13075076.0,Stand unbekannt
Loddin,13075080.0,Stand unbekannt
Loissin,13075081.0,Stand unbekannt
Loitz,13075082.0,Stand unbekannt
Lubmin,13075083.0,Stand unbekannt
Lütow,13075087.0,Stand unbekannt
Medow,13075088.0,Stand unbekannt
Mellenthin,13075090.0,Stand unbekannt
Mesekenhagen,13075091.0,Stand unbekannt
Mölschow,13075092.0,Stand unbekannt
Neu Boltenhagen,13075097.0,Stand unbekannt
Neu Kosenow,13075098.0,Stand unbekannt
Neuenkirchen (bei Anklam),13075101.0,Stand unbekannt
Nieden,13075103.0,Stand unbekannt
Papendorf (Kreis Vorpommern-Greifswald),13075104.0,Stand unbekannt
Peenemünde,13075106.0,Stand unbekannt
Polzow,13075109.0,Stand unbekannt
Postlow,13075110.0,Stand unbekannt
Pudagla,13075111.0,Stand unbekannt
Rankwitz,13075114.0,Stand unbekannt
Rollwitz,13075115.0,Stand unbekannt
Rossin,13075116.0,Stand unbekannt
Rothemühl,13075118.0,Stand unbekannt
Rubenow,13075120.0,Stand unbekannt
Sarnow,13075122.0,Stand unbekannt
Sassen-Trantow,13075123.0,Stand unbekannt
Sauzin,13075124.0,Stand unbekannt
Schönwalde,13075126.0,Stand unbekannt
Spantekow,13075127.0,Stand unbekannt
Stolpe an der Peene,13075128.0,Stand unbekannt
Stolpe auf Usedom,13075129.0,Stand unbekannt
Torgelow,13075131.0,Stand unbekannt
Trassenheide,13075133.0,Stand unbekannt
Tutow,13075134.0,Stand unbekannt
Ückeritz,13075135.0,Stand unbekannt
Usedom,13075137.0,Stand unbekannt
Viereck,13075138.0,Stand unbekannt
Völschow,13075140.0,Stand unbekannt
Wackerow,13075141.0,Stand unbekannt
Weitenhagen (bei Greifswald),13075142.0,Stand unbekannt
Wilhelmsburg,13075143.0,Stand unbekannt
Wusterhusen,13075146.0,Stand unbekannt
Zemitz,13075147.0,Stand unbekannt
Zempin,13075148.0,Stand unbekannt
Zerrenthin,13075149.0,Stand unbekannt
Zirchow,13075152.0,Stand unbekannt
Neetzow-Liepen,13075155.0,Stand unbekannt
Alt Zachun,13076002.0,Stand unbekannt
Balow,13076003.0,Stand unbekannt
Bandenitz,13076004.0,Stand unbekannt
Barkhagen,13076006.0,Stand unbekannt
Belsch,13076008.0,Stand unbekannt
Blankenberg,13076011.0,Stand unbekannt
Blievenstorf,13076012.0,Stand unbekannt
Bobzin,13076013.0,Stand unbekannt
Borkow,13076015.0,Stand unbekannt
Brenz,13076017.0,Stand unbekannt
Bresegard bei Picher,13076019.0,Stand unbekannt
Brüel,13076020.0,Stand unbekannt
Brunow,13076021.0,Stand unbekannt
Dabel,13076026.0,Stand unbekannt
Dambeck,13076027.0,Stand unbekannt
Dömitz,13076034.0,Stand unbekannt
Domsühl,13076035.0,Stand unbekannt
Dümmer,13076036.0,Stand unbekannt
Eldena,13076037.0,Stand unbekannt
Gammelin,13076041.0,Stand unbekannt
Gorlosen,13076049.0,Stand unbekannt
Grabow,13076050.0,Stand unbekannt
Grebs-Niendorf,13076053.0,Stand unbekannt
Groß Godems,13076056.0,Stand unbekannt
Groß Krams,13076057.0,Stand unbekannt
Hagenow,13076060.0,Stand unbekannt
Hohen Pritz,13076062.0,Stand unbekannt
Holthusen,13076063.0,Stand unbekannt
Hoort,13076064.0,Stand unbekannt
Hülseburg,13076065.0,Stand unbekannt
Karenz,13076067.0,Stand unbekannt
Karrenzin,13076068.0,Stand unbekannt
Karstädt (Mecklenburg-Vorpommern),13076069.0,Stand unbekannt
Kirch Jesar,13076070.0,Stand unbekannt
Klein Rogahn,13076071.0,Stand unbekannt
Kobrow,13076072.0,Stand unbekannt
Kremmin,13076076.0,Stand unbekannt
Kuhlen-Wendorf,13076078.0,Stand unbekannt
Kuhstorf,13076079.0,Stand unbekannt
Lewitzrand,13076085.0,Stand unbekannt
Malk Göhren,13076093.0,Stand unbekannt
Malliß,13076094.0,Stand unbekannt
Milow,13076097.0,Stand unbekannt
Möllenbeck (Kreis Ludwigslust-Parchim),13076098.0,Stand unbekannt
Moraas,13076099.0,Stand unbekannt
Muchow,13076100.0,Stand unbekannt
Mustin (Mecklenburg-Vorpommern),13076101.0,Stand unbekannt
Neu Kaliß,13076103.0,Stand unbekannt
Neustadt-Glewe,13076105.0,Stand unbekannt
Pampow,13076107.0,Stand unbekannt
Pätow-Steegen,13076110.0,Stand unbekannt
Picher,13076111.0,Stand unbekannt
Prislich,13076115.0,Stand unbekannt
Pritzier,13076116.0,Stand unbekannt
Redefin,13076119.0,Stand unbekannt
Rom,13076120.0,Stand unbekannt
Schossin,13076121.0,Stand unbekannt
Spornitz,13076126.0,Stand unbekannt
Sternberg,13076128.0,Stand unbekannt
Stolpe (Mecklenburg-Vorpommern),13076129.0,Stand unbekannt
Strohkirchen,13076131.0,Stand unbekannt
Vielank,13076143.0,Stand unbekannt
Warlitz,13076145.0,Stand unbekannt
Warsow,13076147.0,Stand unbekannt
Weitendorf,13076148.0,Stand unbekannt
Wittenburg,13076152.0,Stand unbekannt
Wittendörp,13076153.0,Stand unbekannt
Wittenförden,13076154.0,Stand unbekannt
Witzin,13076155.0,Stand unbekannt
Ziegendorf,13076160.0,Stand unbekannt
Zierzow,13076161.0,Stand unbekannt
Zölkow,13076162.0,Stand unbekannt
Zülow,13076163.0,Stand unbekannt
Obere Warnow,13076164.0,Stand unbekannt
Ganzlin,13076166.0,Stand unbekannt
Kloster Tempzin,13076167.0,Stand unbekannt
Toddin,13076169.0,Stand unbekannt
Amtsberg,14521010.0,Stand unbekannt
Annaberg-Buchholz,14521020.0,Stand unbekannt
Aue-Bad Schlema,14521035.0,Stand unbekannt
Auerbach (Erzgebirgskreis),14521040.0,Stand unbekannt
Bärenstein,14521060.0,Stand unbekannt
Börnichen/Erzgeb.,14521090.0,Stand unbekannt
Breitenbrunn/Erzgeb.,14521110.0,Stand unbekannt
Burkhardtsdorf,14521120.0,Stand unbekannt
Crottendorf,14521130.0,Stand unbekannt
Deutschneudorf,14521140.0,Stand unbekannt
Drebach,14521150.0,Stand unbekannt
Elterlein,14521180.0,Stand unbekannt
Gelenau/Erzgeb.,14521200.0,Stand unbekannt
Geyer,14521210.0,Stand unbekannt
Gornsdorf,14521230.0,Stand unbekannt
Großrückerswalde,14521250.0,Stand unbekannt
Grünhain-Beierfeld,14521260.0,Stand unbekannt
Grünhainichen,14521270.0,Stand unbekannt
Heidersdorf,14521280.0,Stand unbekannt
Hohndorf,14521290.0,Stand unbekannt
Jahnsdorf/Erzgeb.,14521310.0,Stand unbekannt
Johanngeorgenstadt,14521320.0,Stand unbekannt
Jöhstadt,14521330.0,Stand unbekannt
Königswalde,14521340.0,Stand unbekannt
Lauter-Bernsbach,14521355.0,Stand unbekannt
Lößnitz,14521370.0,Stand unbekannt
Mildenau,14521400.0,Stand unbekannt
Neukirchen/Erzgeb.,14521410.0,Stand unbekannt
Niederdorf,14521420.0,Stand unbekannt
Oberwiesenthal,14521440.0,Stand unbekannt
Pockau-Lengefeld,14521495.0,Stand unbekannt
Scheibenberg,14521510.0,Stand unbekannt
Schlettau,14521520.0,Stand unbekannt
Schneeberg (Erzgebirgskreis),14521530.0,Stand unbekannt
Schwarzenberg/Erzgeb.,14521550.0,Stand unbekannt
Sehmatal,14521560.0,Stand unbekannt
Seiffen/Erzgeb.,14521570.0,Stand unbekannt
Stützengrün,14521600.0,Stand unbekannt
Tannenberg,14521610.0,Stand unbekannt
Thalheim/Erzgeb.,14521620.0,Stand unbekannt
Thermalbad Wiesenbad,14521630.0,Stand unbekannt
Thum,14521640.0,Stand unbekannt
Wolkenstein,14521670.0,Stand unbekannt
Zwönitz,14521710.0,Stand unbekannt
Altmittweida,14522010.0,Stand unbekannt
Augustusburg,14522020.0,Stand unbekannt
Bobritzsch-Hilbersdorf,14522035.0,Stand unbekannt
Brand-Erbisdorf,14522050.0,Stand unbekannt
Claußnitz,14522070.0,Stand unbekannt
Dorfchemnitz,14522090.0,Stand unbekannt
Eppendorf,14522110.0,Stand unbekannt
Erlau,14522120.0,Stand unbekannt
Frauenstein,14522170.0,Stand unbekannt
Freiberg,14522180.0,Stand unbekannt
Geringswalde,14522190.0,Stand unbekannt
Großhartmannsdorf,14522200.0,Stand unbekannt
Großschirma,14522210.0,Stand unbekannt
Großweitzschen,14522220.0,Stand unbekannt
Hainichen,14522230.0,Stand unbekannt
Halsbrücke,14522240.0,Stand unbekannt
Hartha,14522250.0,Stand unbekannt
Hartmannsdorf,14522260.0,Stand unbekannt
Jahnatal,14522275.0,Stand unbekannt
Königshain-Wiederau,14522290.0,Stand unbekannt
Kriebstein,14522300.0,Stand unbekannt
Leisnig,14522310.0,Stand unbekannt
Leubsdorf (Sachsen),14522320.0,Stand unbekannt
Lichtenau (Sachsen),14522330.0,Stand unbekannt
Lichtenberg/Erzgeb.,14522340.0,Stand unbekannt
Lunzenau,14522350.0,Stand unbekannt
Mittweida,14522360.0,Stand unbekannt
Neuhausen/Erzgeb.,14522400.0,Stand unbekannt
Niederwiesa,14522420.0,Stand unbekannt
Oberschöna,14522430.0,Stand unbekannt
Oederan,14522440.0,Stand unbekannt
Penig,14522460.0,Stand unbekannt
Rechenberg-Bienenmühle,14522470.0,Stand unbekannt
Reinsberg,14522480.0,Stand unbekannt
Rossau,14522500.0,Stand unbekannt
Sayda,14522520.0,Stand unbekannt
Striegistal,14522540.0,Stand unbekannt
Wechselburg,14522580.0,Stand unbekannt
Weißenborn/Erzgeb.,14522590.0,Stand unbekannt
Bad Elster,14523040.0,Stand unbekannt
Bergen (Vogtlandkreis),14523050.0,Stand unbekannt
Bösenbrunn,14523060.0,Stand unbekannt
Eichigt,14523080.0,Stand unbekannt
Ellefeld,14523090.0,Stand unbekannt
Falkenstein/Vogtl.,14523120.0,Stand unbekannt
Grünbach,14523130.0,Stand unbekannt
Heinsdorfergrund,14523150.0,Stand unbekannt
Klingenthal,14523160.0,Stand unbekannt
Lengenfeld,14523170.0,Stand unbekannt
Limbach (Vogtlandkreis),14523190.0,Stand unbekannt
Markneukirchen,14523200.0,Stand unbekannt
Mühlental,14523230.0,Stand unbekannt
Muldenhammer,14523245.0,Stand unbekannt
Netzschkau,14523260.0,Stand unbekannt
Neumark,14523280.0,Stand unbekannt
Neustadt/Vogtl.,14523290.0,Stand unbekannt
Oelsnitz/Vogtl.,14523300.0,Stand unbekannt
Rodewisch,14523360.0,Stand unbekannt
Rosenbach/Vogtl.,14523365.0,Stand unbekannt
Steinberg (Vogtlandkreis),14523380.0,Stand unbekannt
Theuma,14523410.0,Stand unbekannt
Tirpersdorf,14523420.0,Stand unbekannt
Triebel/Vogtl.,14523440.0,Stand unbekannt
Werda,14523460.0,Stand unbekannt
Bernsdorf (Kreis Zwickau),14524010.0,Stand unbekannt
Crimmitschau,14524030.0,Stand unbekannt
Crinitzberg,14524040.0,Stand unbekannt
Dennheritz,14524050.0,Stand unbekannt
Fraureuth,14524060.0,Stand unbekannt
Gersdorf,14524070.0,Stand unbekannt
Glauchau,14524080.0,Stand unbekannt
Hartmannsdorf b.Kirchberg,14524100.0,Stand unbekannt
Hirschfeld (Sachsen),14524110.0,Stand unbekannt
Hohenstein-Ernstthal,14524120.0,Stand unbekannt
Kirchberg (Sachsen),14524130.0,Stand unbekannt
Langenbernsdorf,14524140.0,Stand unbekannt
Langenweißbach,14524150.0,Stand unbekannt
Lichtentanne,14524170.0,Stand unbekannt
Meerane,14524190.0,Stand unbekannt
Mülsen,14524200.0,Stand unbekannt
Neukirchen/Pleiße,14524210.0,Stand unbekannt
Niederfrohna,14524220.0,Stand unbekannt
Oberwiera,14524240.0,Stand unbekannt
Reinsdorf,14524250.0,Stand unbekannt
Remse,14524260.0,Stand unbekannt
Schönberg (Kreis Zwickau),14524270.0,Stand unbekannt
St. Egidien,14524280.0,Stand unbekannt
Waldenburg (Sachsen),14524290.0,Stand unbekannt
Werdau,14524300.0,Stand unbekannt
Wildenfels,14524310.0,Stand unbekannt
Wilkau-Haßlau,14524320.0,Stand unbekannt
Arnsdorf,14625010.0,Stand unbekannt
Bautzen,14625020.0,Stand unbekannt
Bernsdorf (Kreis Bautzen),14625030.0,Stand unbekannt
Bischofswerda,14625040.0,Stand unbekannt
Burkau,14625060.0,Stand unbekannt
Crostwitz,14625080.0,Stand unbekannt
Cunewalde,14625090.0,Stand unbekannt
Demitz-Thumitz,14625100.0,Stand unbekannt
Doberschau-Gaußig,14625110.0,Stand unbekannt
Elsterheide,14625120.0,Stand unbekannt
Elstra,14625130.0,Stand unbekannt
Frankenthal,14625140.0,Stand unbekannt
Göda,14625150.0,Stand unbekannt
Großharthau,14625170.0,Stand unbekannt
Großnaundorf,14625180.0,Stand unbekannt
Großpostwitz/O.L.,14625190.0,Stand unbekannt
Großröhrsdorf,14625200.0,Stand unbekannt
Haselbachtal,14625220.0,Stand unbekannt
Hochkirch,14625230.0,Stand unbekannt
Kamenz,14625250.0,Stand unbekannt
Königsbrück,14625270.0,Stand unbekannt
Königswartha,14625280.0,Stand unbekannt
Kubschütz,14625290.0,Stand unbekannt
Laußnitz,14625300.0,Stand unbekannt
Lauta,14625310.0,Stand unbekannt
Lichtenberg (Kreis Bautzen),14625320.0,Stand unbekannt
Lohsa,14625330.0,Stand unbekannt
Nebelschütz,14625350.0,Stand unbekannt
Neschwitz,14625360.0,Stand unbekannt
Neukirch (bei Königsbrück),14625370.0,Stand unbekannt
Neukirch/Lausitz,14625380.0,Stand unbekannt
Obergurig,14625390.0,Stand unbekannt
Ohorn,14625410.0,Stand unbekannt
Oßling,14625420.0,Stand unbekannt
Panschwitz-Kuckau,14625440.0,Stand unbekannt
Pulsnitz,14625450.0,Stand unbekannt
Puschwitz,14625460.0,Stand unbekannt
Räckelwitz,14625470.0,Stand unbekannt
Ralbitz-Rosenthal,14625500.0,Stand unbekannt
Rammenau,14625510.0,Stand unbekannt
Schirgiswalde-Kirschau,14625525.0,Stand unbekannt
Schmölln-Putzkau,14625530.0,Stand unbekannt
Schwepnitz,14625550.0,Stand unbekannt
Sohland a.d.Spree,14625560.0,Stand unbekannt
Spreetal,14625570.0,Stand unbekannt
Steina,14625580.0,Stand unbekannt
Steinigtwolmsdorf,14625590.0,Stand unbekannt
Weißenberg,14625610.0,Stand unbekannt
Wittichenau,14625640.0,Stand unbekannt
Bad Muskau,14626010.0,Stand unbekannt
Beiersdorf,14626020.0,Stand unbekannt
Bernstadt a.d.Eigen,14626030.0,Stand unbekannt
Boxberg/O.L.,14626060.0,Stand unbekannt
Dürrhennersdorf,14626070.0,Stand unbekannt
Gablenz,14626100.0,Stand unbekannt
Groß Düben,14626120.0,Stand unbekannt
Großschweidnitz,14626150.0,Stand unbekannt
Hähnichen,14626160.0,Stand unbekannt
Hainewalde,14626170.0,Stand unbekannt
Hohendubrau,14626190.0,Stand unbekannt
Horka,14626200.0,Stand unbekannt
Königshain,14626240.0,Stand unbekannt
Krauschwitz i.d.O.L.,14626250.0,Stand unbekannt
Lawalde,14626270.0,Stand unbekannt
Leutersdorf,14626280.0,Stand unbekannt
Markersdorf,14626300.0,Stand unbekannt
Mücka,14626320.0,Stand unbekannt
Neusalza-Spremberg,14626350.0,Stand unbekannt
Niesky,14626370.0,Stand unbekannt
Oppach,14626410.0,Stand unbekannt
Quitzdorf am See,14626440.0,Stand unbekannt
Reichenbach/O.L.,14626450.0,Stand unbekannt
Rietschen,14626460.0,Stand unbekannt
Rosenbach,14626470.0,Stand unbekannt
Schleife,14626490.0,Stand unbekannt
Schönau-Berzdorf a.d.Eigen,14626500.0,Stand unbekannt
Schönbach (Sachsen),14626510.0,Stand unbekannt
Schöpstal,14626520.0,Stand unbekannt
Seifhennersdorf,14626530.0,Stand unbekannt
Trebendorf,14626560.0,Stand unbekannt
Vierkirchen (Oberlausitz),14626570.0,Stand unbekannt
Waldhufen,14626580.0,Stand unbekannt
Weißkeißel,14626590.0,Stand unbekannt
Zittau,14626610.0,Stand unbekannt
Diera-Zehren,14627020.0,Stand unbekannt
Ebersbach,14627030.0,Stand unbekannt
Glaubitz,14627040.0,Stand unbekannt
Gröditz,14627050.0,Stand unbekannt
Hirschstein,14627070.0,Stand unbekannt
Käbschütztal,14627080.0,Stand unbekannt
Klipphausen,14627100.0,Stand unbekannt
Lampertswalde,14627110.0,Stand unbekannt
Lommatzsch,14627130.0,Stand unbekannt
Meißen,14627140.0,Stand unbekannt
Niederau,14627170.0,Stand unbekannt
Nünchritz,14627190.0,Stand unbekannt
Priestewitz,14627200.0,Stand unbekannt
Riesa,14627230.0,Stand unbekannt
Röderaue,14627240.0,Stand unbekannt
Schönfeld (Kreis Meißen),14627250.0,Stand unbekannt
Thiendorf,14627290.0,Stand unbekannt
Weinböhla,14627310.0,Stand unbekannt
Wülknitz,14627340.0,Stand unbekannt
Zeithain,14627360.0,Stand unbekannt
Bad Gottleuba-Berggießhübel,14628020.0,Stand unbekannt
Bad Schandau,14628030.0,Stand unbekannt
Bahretal,14628040.0,Stand unbekannt
Dohma,14628070.0,Stand unbekannt
Dohna,14628080.0,Stand unbekannt
Dorfhain,14628090.0,Stand unbekannt
Dürrröhrsdorf-Dittersbach,14628100.0,Stand unbekannt
Freital,14628110.0,Stand unbekannt
Gohrisch,14628140.0,Stand unbekannt
Hartmannsdorf-Reichenau,14628150.0,Stand unbekannt
Heidenau (Sachsen),14628160.0,Stand unbekannt
Hermsdorf/Erzgeb.,14628170.0,Stand unbekannt
Hohnstein,14628190.0,Stand unbekannt
Klingenberg,14628205.0,Stand unbekannt
Königstein/Sächs.Schw.,14628210.0,Stand unbekannt
Liebstadt,14628230.0,Stand unbekannt
Lohmen (Sachsen),14628240.0,Stand unbekannt
Müglitztal,14628250.0,Stand unbekannt
Neustadt in Sachsen,14628260.0,Stand unbekannt
Rabenau (Sachsen),14628300.0,Stand unbekannt
Rathen,14628310.0,Stand unbekannt
Rathmannsdorf,14628320.0,Stand unbekannt
Reinhardtsdorf-Schöna,14628330.0,Stand unbekannt
Rosenthal-Bielatal,14628340.0,Stand unbekannt
Sebnitz,14628360.0,Stand unbekannt
Stadt Wehlen,14628370.0,Stand unbekannt
Stolpen,14628380.0,Stand unbekannt
Struppen,14628390.0,Stand unbekannt
Tharandt,14628400.0,Stand unbekannt
Wilsdruff,14628410.0,Stand unbekannt
Bad Lausick,14729010.0,Stand unbekannt
